,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
110,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,18,18,1541,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
111,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,19,19,1699,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.03,0.00,0.03,0.03,0.03,Matches
112,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DFMF,Aston Villa,31,1987,10,6,611,0,1,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.2,0.2,1.2,0.04,0.17,0.21,0.04,0.21,Matches
113,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,14,13,1222,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.02,0.00,0.02,0.02,0.02,Matches
114,Christian Eriksen\Christian-Eriksen,dk DEN,DFMF,Tottenham,27,1992,16,8,888,2,2,0,0,4,0,0.20,0.20,0.41,0.20,0.41,1.7,1.7,1.6,0.18,0.17,0.34,0.18,0.34,Matches
115,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,20,20,1772,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,1.4,1.4,0.2,0.07,0.01,0.08,0.07,0.08,Matches
116,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,8,8,664,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
117,Fabinho\Fabinho,br BRA,DF,Liverpool,25,1993,12,11,1006,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,0.1,0.1,0.9,0.01,0.08,0.10,0.01,0.10,Matches
118,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,1,1,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
119,Kiko Femenía\Kiko-Femenia,es ESP,FWMF,Watford,28,1991,16,14,1286,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.2,0.01,0.08,0.09,0.01,0.09,Matches
120,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,14,11,1013,2,1,0,0,3,0,0.18,0.09,0.27,0.18,0.27,1.2,1.2,0.2,0.10,0.02,0.12,0.10,0.12,Matches
121,Fernandinho\Fernandinho,br BRA,MF,Manchester City,34,1985,16,15,1394,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.03,0.01,0.04,0.03,0.04,Matches
122,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,27,1991,19,17,1540,6,4,0,0,0,0,0.35,0.23,0.58,0.35,0.58,6.4,6.4,3.2,0.37,0.19,0.56,0.37,0.56,Matches
123,John Fleck\John-Fleck,sco SCO,FWMF,Sheffield Utd,27,1991,17,17,1469,4,1,0,0,5,0,0.25,0.06,0.31,0.25,0.31,3.0,3.0,1.9,0.18,0.11,0.30,0.18,0.30,Matches
124,Phil Foden\Phil-Foden,eng ENG,MF,Manchester City,19,2000,10,1,149,0,1,0,0,0,0,0.00,0.60,0.60,0.00,0.60,0.3,0.3,0.2,0.16,0.14,0.29,0.16,0.29,Matches
125,Pablo Fornals\Pablo-Fornals,es ESP,MF,West Ham,23,1996,18,11,1017,1,3,0,0,1,0,0.09,0.27,0.35,0.09,0.35,1.4,1.4,1.4,0.12,0.13,0.25,0.12,0.25,Matches
126,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,20,20,1800,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,Matches
127,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Watford,26,1993,3,1,58,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
128,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,4,1,65,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
129,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,8,4,368,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.01,0.04,0.03,0.04,Matches
130,Ryan Fraser\Ryan-Fraser,sco SCO,MF,Bournemouth,25,1994,19,14,1374,1,3,0,0,2,0,0.07,0.20,0.26,0.07,0.26,2.0,2.0,2.4,0.13,0.16,0.29,0.13,0.29,Matches
131,Fred\Fred,br BRA,FWMF,Manchester Utd,26,1993,16,13,1228,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.7,0.07,0.13,0.20,0.07,0.20,Matches
132,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,17,16,1448,0,1,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,1.2,0.00,0.07,0.07,0.00,0.07,Matches
133,Luke Freeman\Luke-Freeman,eng ENG,FWMF,Sheffield Utd,27,1992,9,3,322,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.01,0.08,0.09,0.01,0.09,Matches
134,Christian Fuchs\Christian-Fuchs,at AUT,DFMF,Leicester City,33,1986,5,4,364,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.02,0.04,0.03,0.04,Matches
135,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,4,1,167,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
136,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,1,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
137,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,8,1,151,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.45,0.00,0.45,0.45,0.45,Matches
138,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,14,13,1252,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.00,0.03,0.03,0.00,0.03,Matches
139,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,DF,Everton,23,1995,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
140,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,20,20,1800,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
141,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,18,15,1231,3,4,0,0,2,0,0.22,0.29,0.51,0.22,0.51,4.1,4.1,2.1,0.30,0.15,0.45,0.30,0.45,Matches
142,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MF,Wolves,19,2000,3,1,120,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.06,0.07,0.13,0.06,0.13,Matches
143,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.57,0.57,0.00,0.57,Matches
144,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,5,2,191,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,0.28,0.25,0.53,0.28,0.53,Matches
145,Ben Godfrey\Ben-Godfrey,eng ENG,MF,Norwich City,21,1998,17,17,1490,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.02,0.00,0.02,0.02,0.02,Matches
146,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,8,7,585,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.03,0.06,0.09,0.03,0.09,Matches
147,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
148,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,10,5,466,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.03,0.03,0.00,0.03,Matches
149,Dan Gosling\Dan-Gosling,eng ENG,DFMF,Bournemouth,29,1990,7,4,396,2,0,0,0,1,0,0.45,0.00,0.45,0.45,0.45,1.1,1.1,0.1,0.24,0.03,0.27,0.24,0.27,Matches
150,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,17,7,701,2,0,0,0,1,0,0.26,0.00,0.26,0.26,0.26,2.5,2.5,1.7,0.32,0.21,0.54,0.32,0.54,Matches
151,Demarai Gray\Demarai-Gray,eng ENG,MF,Leicester City,23,1996,12,2,361,1,1,0,1,1,0,0.25,0.25,0.50,0.25,0.50,1.6,0.8,0.7,0.39,0.17,0.57,0.20,0.38,Matches
152,Jack Grealish\Jack-Grealish,eng ENG,MF,Aston Villa,23,1995,18,18,1614,5,5,0,1,5,0,0.28,0.28,0.56,0.28,0.56,4.6,3.9,2.9,0.26,0.16,0.42,0.22,0.38,Matches
153,Mason Greenwood\Mason-Greenwood,eng ENG,MF,Manchester Utd,17,2001,15,2,364,3,0,0,0,0,0,0.74,0.00,0.74,0.74,0.74,1.6,1.6,0.2,0.39,0.05,0.44,0.39,0.44,Matches
154,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,9,4,407,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.15,0.03,0.18,0.15,0.18,Matches
155,Pascal Groß\Pascal-Gross,de GER,MF,Brighton,28,1991,18,15,1244,1,4,0,0,2,0,0.07,0.29,0.36,0.07,0.36,1.2,1.2,4.0,0.09,0.29,0.38,0.09,0.38,Matches
156,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,18,18,1620,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
157,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,17,16,1405,0,1,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,1.1,0.04,0.07,0.10,0.04,0.10,Matches
158,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,16,14,1270,0,2,0,0,5,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,1.2,0.01,0.09,0.10,0.01,0.10,Matches
159,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,18,12,1109,2,0,1,1,7,0,0.16,0.00,0.16,0.08,0.08,2.6,1.9,1.9,0.21,0.15,0.36,0.15,0.30,Matches
160,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
161,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,18,16,1403,5,1,0,0,1,0,0.32,0.06,0.38,0.32,0.38,5.0,5.0,0.9,0.32,0.06,0.38,0.32,0.38,Matches
162,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.05,0.00,0.05,0.05,0.05,Matches
163,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,4,4,360,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
164,Isaac Hayden\Isaac-Hayden,eng ENG,DF,Newcastle Utd,24,1995,16,16,1366,0,1,0,0,3,1,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.3,0.02,0.08,0.11,0.02,0.11,Matches
165,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19,19,1710,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
166,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,19,19,1710,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
167,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,18,15,1263,1,2,0,0,1,0,0.07,0.14,0.21,0.07,0.21,0.5,0.5,1.4,0.04,0.10,0.13,0.04,0.13,Matches
168,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,16,14,1233,2,1,0,0,5,0,0.15,0.07,0.22,0.15,0.22,1.0,1.0,0.5,0.07,0.04,0.11,0.07,0.11,Matches
169,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
170,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,2,1,107,1,0,0,0,0,0,0.84,0.00,0.84,0.84,0.84,0.7,0.7,0.0,0.62,0.00,0.62,0.62,0.62,Matches
171,Onel Hernández\Onel-Hernandez,cu CUB,FW,Norwich City,26,1993,13,7,708,1,1,0,0,0,0,0.13,0.13,0.25,0.13,0.25,1.1,1.1,0.6,0.14,0.08,0.21,0.14,0.21,Matches
172,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,16,15,1298,5,7,0,0,0,2,0.35,0.49,0.83,0.35,0.83,3.7,3.7,4.3,0.25,0.30,0.55,0.25,0.55,Matches
173,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,1,1,77,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
174,José Holebas\Jose-Holebas,gr GRE,DFMF,Watford,35,1984,11,11,976,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,0.04,0.07,0.11,0.04,0.11,Matches
175,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,13,11,1007,0,2,0,0,2,0,0.00,0.18,0.18,0.00,0.18,1.6,1.6,0.1,0.15,0.01,0.15,0.15,0.15,Matches
176,Nathan Holland\Nathan-Holland,eng ENG,FW,West Ham,21,1998,2,0,31,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches
177,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,13,9,763,3,2,0,0,2,0,0.35,0.24,0.59,0.35,0.59,0.9,0.9,2.4,0.11,0.29,0.40,0.11,0.40,Matches
178,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,MF,Chelsea,18,2000,12,3,386,0,3,0,0,1,0,0.00,0.70,0.70,0.00,0.70,1.0,1.0,1.0,0.23,0.24,0.47,0.23,0.47,Matches
179,Will Hughes\Will-Hughes,eng ENG,MF,Watford,24,1995,17,14,1162,1,1,0,0,3,0,0.08,0.08,0.15,0.08,0.15,2.1,2.1,0.6,0.16,0.05,0.21,0.16,0.21,Matches
180,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,19,18,1637,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,1.6,1.6,1.4,0.09,0.08,0.17,0.09,0.17,Matches
181,Jordon Ibe\Jordon-Ibe,eng ENG,FWMF,Bournemouth,23,1995,2,0,48,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
182,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,4,3,221,3,2,0,0,1,0,1.22,0.81,2.04,1.22,2.04,1.3,1.3,1.6,0.52,0.64,1.17,0.52,1.17,Matches
183,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,20,16,1371,12,1,0,0,1,0,0.79,0.07,0.85,0.79,0.85,8.3,8.3,1.2,0.55,0.08,0.63,0.55,0.63,Matches
184,Alex Iwobi\Alex-Iwobi,ng NGA,FW,Everton,23,1996,16,11,1045,1,0,0,0,0,0,0.09,0.00,0.09,0.09,0.09,2.0,2.0,1.8,0.17,0.15,0.33,0.17,0.33,Matches
185,Phil Jagielka\Phil-Jagielka,eng ENG,DFMF,Sheffield Utd,36,1982,4,1,128,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
186,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,2,1,106,1,0,0,0,0,0,0.85,0.00,0.85,0.85,0.85,0.2,0.2,0.0,0.13,0.00,0.13,0.13,0.13,Matches
187,Daniel James\Daniel-James,wal WAL,MF,Manchester Utd,21,1997,19,18,1579,3,6,0,0,3,0,0.17,0.34,0.51,0.17,0.51,2.4,2.4,3.8,0.14,0.22,0.36,0.14,0.36,Matches
188,Reece James\Reece-James,eng ENG,,Chelsea,19,1999,9,4,420,0,1,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.2,0.2,1.0,0.04,0.22,0.26,0.04,0.26,Matches
189,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,8,7,608,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.4,0.05,0.06,0.10,0.05,0.10,Matches
190,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,16,9,910,6,2,0,0,1,0,0.59,0.20,0.79,0.59,0.79,8.5,8.5,0.6,0.84,0.06,0.90,0.84,0.90,Matches
191,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,20,19,1673,8,6,2,2,2,0,0.43,0.32,0.75,0.32,0.65,7.6,6.1,4.5,0.41,0.24,0.65,0.33,0.57,Matches
192,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,20,19,1523,1,2,0,0,4,0,0.06,0.12,0.18,0.06,0.18,2.7,2.7,2.1,0.16,0.12,0.28,0.16,0.28,Matches
193,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1,0,14,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.31,0.00,0.31,0.31,0.31,Matches
194,Phil Jones\Phil-Jones,eng ENG,DFMF,Manchester Utd,27,1992,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
195,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,18,15,1337,2,2,1,1,8,0,0.13,0.13,0.27,0.07,0.20,1.9,1.2,1.7,0.13,0.12,0.25,0.08,0.19,Matches
196,Jota\Jota,es ESP,MF,Aston Villa,28,1991,8,4,313,0,1,0,0,0,0,0.00,0.29,0.29,0.00,0.29,0.1,0.1,0.6,0.04,0.18,0.21,0.04,0.21,Matches
197,Diogo Jota\Diogo-Jota,pt POR,MF,Wolves,22,1996,18,16,1371,3,0,0,0,3,0,0.20,0.00,0.20,0.20,0.20,5.3,5.3,1.7,0.34,0.11,0.46,0.34,0.46,Matches
198,James Justin\James-Justin,eng ENG,MF,Leicester City,21,1998,3,1,110,0,1,0,0,0,0,0.00,0.82,0.82,0.00,0.82,0.0,0.0,0.3,0.00,0.21,0.21,0.00,0.21,Matches
199,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,12,12,1054,0,1,0,0,3,1,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.3,0.03,0.03,0.06,0.03,0.06,Matches
200,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,19,19,1705,11,2,2,2,2,0,0.58,0.11,0.69,0.48,0.58,6.8,5.3,1.7,0.36,0.09,0.45,0.28,0.37,Matches
201,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,13,11,1034,3,0,0,0,3,0,0.26,0.00,0.26,0.26,0.26,1.2,1.2,1.6,0.11,0.14,0.25,0.11,0.25,Matches
202,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,15,3,433,0,1,0,0,0,0,0.00,0.21,0.21,0.00,0.21,2.2,2.2,0.5,0.46,0.11,0.56,0.46,0.56,Matches
203,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,17,15,1369,1,0,0,0,0,0,0.07,0.00,0.07,0.07,0.07,1.2,1.2,0.2,0.08,0.01,0.09,0.08,0.09,Matches
204,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,5,2,197,1,1,0,0,0,0,0.46,0.46,0.91,0.46,0.91,0.6,0.6,0.7,0.28,0.34,0.62,0.28,0.62,Matches
205,Martin Kelly\Martin-Kelly,eng ENG,DFMF,Crystal Palace,29,1990,15,13,1225,0,1,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.8,0.01,0.06,0.07,0.01,0.07,Matches
206,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
207,Joshua King\Joshua-King,no NOR,FW,Bournemouth,27,1992,16,15,1311,3,2,1,1,0,0,0.21,0.14,0.34,0.14,0.27,3.9,3.2,1.9,0.27,0.13,0.40,0.22,0.35,Matches
208,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FW,Aston Villa,29,1989,5,0,92,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
209,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Arsenal,26,1993,14,10,930,0,2,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.7,0.7,1.0,0.07,0.10,0.17,0.07,0.17,Matches
210,Ezri Konsa\Ezri-Konsa,eng ENG,FW,Aston Villa,21,1998,8,7,645,0,1,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,0.0,0.03,0.00,0.04,0.03,0.04,Matches
211,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DFMF,Crystal Palace,29,1989,18,17,1421,1,0,0,0,1,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.5,0.09,0.03,0.12,0.09,0.12,Matches
212,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,19,14,1314,1,3,0,0,5,0,0.07,0.21,0.27,0.07,0.27,0.6,0.6,1.5,0.04,0.10,0.14,0.04,0.14,Matches
213,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,8,5,419,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.05,0.00,0.05,0.05,0.05,Matches
214,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,18,18,1620,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
215,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,13,10,857,5,1,0,0,4,0,0.53,0.11,0.63,0.53,0.63,3.6,3.6,1.0,0.37,0.11,0.48,0.37,0.48,Matches
216,Adam Lallana\Adam-Lallana,eng ENG,FWMF,Liverpool,31,1988,9,3,281,1,1,0,0,1,0,0.32,0.32,0.64,0.32,0.64,1.0,1.0,0.4,0.32,0.11,0.43,0.32,0.43,Matches
217,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,27,1992,10,7,623,2,1,0,0,2,0,0.29,0.14,0.43,0.29,0.43,1.0,1.0,1.5,0.15,0.21,0.36,0.15,0.36,Matches
218,Tariq Lamptey\Tariq-Lamptey,eng ENG,MF,Chelsea,18,2000,1,0,31,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.39,0.39,0.00,0.39,Matches
219,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,8,2,178,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Matches
220,Manuel Lanzini\Manuel-Lanzini,ar ARG,MF,West Ham,26,1993,13,8,834,0,2,0,0,0,0,0.00,0.22,0.22,0.00,0.22,1.3,1.3,1.7,0.14,0.19,0.33,0.14,0.33,Matches
221,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,4,4,307,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
222,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,12,12,1002,1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.1,0.02,0.01,0.04,0.02,0.04,Matches
223,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,9,7,685,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.03,0.04,0.07,0.03,0.07,Matches
224,Florian Lejeune\Florian-Lejeune,fr FRA,DFMF,Newcastle Utd,28,1991,3,3,254,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.03,0.05,0.03,0.05,Matches
225,Aaron Lennon\Aaron-Lennon,eng ENG,FWMF,Burnley,32,1987,12,3,386,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,Matches
226,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,20,20,1800,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
227,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,17,15,1408,0,1,0,0,8,0,0.00,0.06,0.06,0.00,0.06,0.4,0.4,0.8,0.03,0.05,0.08,0.03,0.08,Matches
228,Jamal Lewis\Jamal-Lewis,nir NIR,,Norwich City,21,1998,14,13,1155,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.01,0.03,0.04,0.01,0.04,Matches
