,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
26,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,15,15,1268,0,3,0,0,2,1,0.00,0.21,0.21,0.00,0.21,0.3,0.3,0.9,0.02,0.06,0.08,0.02,0.08,Matches
27,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,27,1991,19,19,1583,5,1,0,0,3,0,0.28,0.06,0.34,0.28,0.34,4.5,4.5,1.4,0.26,0.08,0.34,0.26,0.34,Matches
28,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,18,18,1610,0,2,0,0,0,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,2.6,0.03,0.15,0.18,0.03,0.18,Matches
29,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,3,1,153,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.08,0.11,0.03,0.11,Matches
30,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,11,10,900,1,0,0,0,2,0,0.10,0.00,0.10,0.10,0.10,1.7,1.7,0.0,0.17,0.00,0.17,0.17,0.17,Matches
31,George Baldock\George-Baldock,eng ENG,DFMF,Sheffield Utd,26,1993,20,20,1800,2,3,0,0,4,0,0.10,0.15,0.25,0.10,0.25,0.5,0.5,1.5,0.02,0.08,0.10,0.02,0.10,Matches
32,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,8,8,720,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
33,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,6,5,339,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.0,0.26,0.27,0.53,0.26,0.53,Matches
34,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,18,16,1316,6,0,1,1,4,0,0.41,0.00,0.41,0.34,0.34,5.3,4.6,0.5,0.36,0.03,0.40,0.31,0.35,Matches
35,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,19,13,1083,1,5,0,0,0,0,0.08,0.42,0.50,0.08,0.50,4.0,4.0,1.6,0.34,0.13,0.47,0.34,0.47,Matches
