,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
25,Leon Bailey\Leon-Bailey,jm JAM,FW,Bayer,21,1997,8,5,454,3,1,0,0,0,2,0.59,0.20,0.79,0.59,0.79,1.8,1.8,1.5,0.36,0.29,0.66,0.36,0.66,Matches
26,Lewis Baker\Lewis-Baker,eng ENG,MF,Düsseldorf,24,1995,8,7,548,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.08,0.05,0.13,0.08,0.13,Matches
27,Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,21,1998,14,11,999,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.0,0.03,0.09,0.12,0.03,0.12,Matches
28,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,Dortmund,20,1999,1,0,12,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
29,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,30,1989,9,4,356,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,Matches
30,Aymen Barkok\Aymen-Barkok,de GER,MF,Düsseldorf,21,1998,3,1,77,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
31,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,19,2000,3,1,56,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.11,0.11,0.22,0.11,0.22,Matches
32,Fin Bartels\Fin-Bartels,de GER,FWMF,Werder Bremen,32,1987,3,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.66,0.00,0.66,0.66,0.66,Matches
33,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,29,1990,17,17,1530,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
34,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,DFMF,Bayer,31,1988,13,11,945,0,1,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.8,0.04,0.08,0.12,0.04,0.12,Matches
35,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MF,Hoffenheim,19,1999,9,3,279,1,1,0,0,0,0,0.32,0.32,0.65,0.32,0.65,2.0,2.0,0.3,0.65,0.10,0.75,0.65,0.75,Matches
36,Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hoffenheim,25,1994,17,13,1281,3,0,0,0,0,0,0.21,0.00,0.21,0.21,0.21,2.3,2.3,2.3,0.16,0.17,0.32,0.16,0.32,Matches
37,Sheraldo Becker\Sheraldo-Becker,nl NED,MF,Union Berlin,24,1995,10,5,473,0,2,0,0,1,0,0.00,0.38,0.38,0.00,0.38,0.2,0.2,0.8,0.05,0.16,0.21,0.05,0.21,Matches
38,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,22,1997,2,0,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,,,,Matches
39,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,27,1992,5,3,269,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,0.42,0.08,0.50,0.42,0.50,Matches
40,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Bayer,29,1990,14,9,891,2,1,0,0,1,0,0.20,0.10,0.30,0.20,0.30,3.4,3.4,2.2,0.34,0.22,0.57,0.34,0.57,Matches
41,Lars Bender\Lars-Bender,de GER,MF,Bayer,30,1989,12,10,877,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,0.05,0.07,0.12,0.05,0.12,Matches
