,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
101,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'gladbach,22,1997,14,10,904,6,2,0,1,2,0,0.60,0.20,0.80,0.60,0.80,4.2,3.5,2.7,0.42,0.27,0.69,0.34,0.61,Matches
102,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Hertha BSC,29,1990,1,0,27,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
103,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,27,1992,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
104,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,21,1997,13,10,936,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.02,0.03,0.06,0.02,0.06,Matches
105,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,Mainz 05,23,1996,15,15,1179,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,0.04,0.04,0.08,0.04,0.08,Matches
106,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,32,1986,9,9,674,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
107,Oliver Fink\Oliver-Fink,de GER,MF,Düsseldorf,37,1982,10,6,510,0,1,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.5,0.5,0.2,0.09,0.03,0.13,0.09,0.13,Matches
108,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,30,1989,9,6,545,2,0,1,1,1,0,0.33,0.00,0.33,0.17,0.17,3.1,2.4,1.2,0.51,0.19,0.70,0.39,0.58,Matches
109,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,26,1993,9,9,810,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
110,Emil Forsberg\Emil-Forsberg,se SWE,MF,RB Leipzig,27,1991,12,9,702,4,2,2,2,0,0,0.51,0.26,0.77,0.26,0.51,2.6,1.1,2.1,0.33,0.26,0.60,0.14,0.40,Matches
111,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,23,1995,5,4,343,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
112,Mike Frantz\Mike-Frantz,de GER,FWMF,Freiburg,32,1986,10,3,241,0,1,0,0,2,0,0.00,0.37,0.37,0.00,0.37,0.2,0.2,0.6,0.09,0.24,0.33,0.09,0.33,Matches
113,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,21,1998,13,12,1097,1,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,0.9,0.9,0.5,0.07,0.04,0.11,0.07,0.11,Matches
114,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,23,1995,16,16,1440,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.05,0.00,0.05,0.05,0.05,Matches
115,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Werder Bremen,26,1993,4,3,292,2,1,0,0,1,0,0.62,0.31,0.92,0.62,0.92,1.6,1.6,0.9,0.49,0.27,0.77,0.49,0.77,Matches
116,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MF,Eint Frankfurt,24,1995,10,4,396,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,0.19,0.06,0.24,0.19,0.24,Matches
117,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DFMF,Werder Bremen,32,1986,15,15,1305,1,0,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.5,0.04,0.03,0.07,0.04,0.07,Matches
118,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,21,1998,13,10,869,0,3,0,0,2,0,0.00,0.31,0.31,0.00,0.31,1.0,1.0,1.5,0.10,0.16,0.26,0.10,0.26,Matches
119,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,33,1985,16,15,1300,0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07,1.5,1.5,1.1,0.11,0.08,0.18,0.11,0.18,Matches
120,Yannick Gerhardt\Yannick-Gerhardt,de GER,MF,Wolfsburg,25,1994,9,3,413,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.03,0.06,0.03,0.06,Matches
121,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Düsseldorf,27,1991,15,15,1350,1,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,0.4,0.4,1.4,0.02,0.09,0.12,0.02,0.12,Matches
122,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Union Berlin,31,1987,17,17,1530,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
123,Daniel Ginczek\Daniel-Ginczek,de GER,FW,Wolfsburg,28,1991,2,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.71,0.00,0.71,0.71,0.71,Matches
124,Matthias Ginter\Matthias-Ginter,de GER,DFMF,M'gladbach,25,1994,14,14,1251,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.2,0.08,0.01,0.10,0.08,0.10,Matches
125,Klaus Gjasula\Klaus-Gjasula,al ALB,MF,Paderborn 07,29,1989,16,16,1313,1,1,0,1,8,0,0.07,0.07,0.14,0.07,0.14,1.5,0.7,0.7,0.10,0.05,0.15,0.05,0.10,Matches
126,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,24,1995,15,14,1149,6,6,0,0,0,0,0.47,0.47,0.94,0.47,0.94,6.7,6.7,5.1,0.52,0.40,0.92,0.52,0.92,Matches
127,Akaki Gogia\Akaki-Gogia,de GER,FWMF,Union Berlin,27,1992,3,1,121,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.02,0.23,0.24,0.02,0.24,Matches
128,Benjamin Goller\Benjamin-Goller,de GER,MF,Werder Bremen,20,1999,9,2,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.05,0.03,0.09,0.05,0.09,Matches
129,Jérôme Gondorf\Jerome-Gondorf,de GER,MF,Freiburg,31,1988,2,2,122,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.02,0.06,0.04,0.06,Matches
130,Leon Goretzka\Leon-Goretzka,de GER,MF,Bayern Munich,24,1995,8,4,365,0,1,0,0,1,0,0.00,0.25,0.25,0.00,0.25,1.0,1.0,0.7,0.25,0.16,0.42,0.25,0.42,Matches
131,Mario Götze\Mario-Gotze,de GER,MF,Dortmund,27,1992,11,5,488,3,0,1,1,0,0,0.55,0.00,0.55,0.37,0.37,1.6,0.8,1.5,0.29,0.28,0.57,0.15,0.43,Matches
132,Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,nl NED,DF,Augsburg,28,1991,8,6,547,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
133,Michael Gregoritsch\Michael-Gregoritsch,at AUT,FW,Augsburg,25,1994,6,4,303,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.04,0.10,0.14,0.04,0.14,Matches
134,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MF,Hoffenheim,26,1993,1,0,14,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
135,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MF,Freiburg,26,1993,10,4,472,2,1,1,1,1,1,0.38,0.19,0.57,0.19,0.38,1.6,0.8,1.1,0.30,0.21,0.52,0.16,0.37,Matches
136,Florian Grillitsch\Florian-Grillitsch,at AUT,MF,Hoffenheim,23,1995,15,14,1202,0,3,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.5,0.5,2.1,0.04,0.15,0.19,0.04,0.19,Matches
137,Christian Groß\Christian-Gross,de GER,MF,Werder Bremen,30,1989,9,8,720,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,Matches
138,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,Augsburg,24,1995,2,2,164,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
139,Marko Grujić\Marko-Grujic,rs SRB,MF,Hertha BSC,23,1996,15,15,1285,3,1,0,0,5,0,0.21,0.07,0.28,0.21,0.28,3.2,3.2,0.4,0.22,0.03,0.25,0.22,0.25,Matches
140,Raphaël Guerreiro\Raphael-Guerreiro,pt POR,DFMF,Dortmund,25,1993,12,9,882,2,1,0,0,0,0,0.20,0.10,0.31,0.20,0.31,1.1,1.1,0.8,0.11,0.08,0.19,0.11,0.19,Matches
141,Babacar Guèye\Babacar-Gueye,sn SEN,FW,Paderborn 07,24,1994,3,1,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.37,0.11,0.48,0.37,0.48,Matches
142,Josuha Guilavogui\Josuha-Guilavogui,fr FRA,MF,Wolfsburg,28,1990,17,17,1530,0,1,0,0,3,0,0.00,0.06,0.06,0.00,0.06,1.0,1.0,0.4,0.06,0.03,0.09,0.06,0.09,Matches
143,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,29,1990,16,16,1440,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.00,0.04,0.04,0.00,0.04,Matches
144,Manuel Gulde\Manuel-Gulde,de GER,DF,Freiburg,28,1991,5,5,433,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.05,0.01,0.06,0.05,0.06,Matches
145,Christian Günter\Christian-Gunter,de GER,DF,Freiburg,26,1993,17,17,1530,1,5,0,0,1,0,0.06,0.29,0.35,0.06,0.35,0.4,0.4,4.2,0.03,0.24,0.27,0.03,0.27,Matches
146,Jonathan de Guzmán\Jonathan-de-Guzman,nl NED,MF,Eint Frankfurt,31,1987,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
147,Janik Haberer\Janik-Haberer,de GER,FWMF,Freiburg,25,1994,14,13,1168,1,2,0,0,3,1,0.08,0.15,0.23,0.08,0.23,0.5,0.5,0.6,0.03,0.05,0.08,0.03,0.08,Matches
148,Alexander Hack\Alexander-Hack,de GER,DF,Mainz 05,25,1993,8,5,466,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.06,0.01,0.06,0.06,0.06,Matches
149,André Hahn\Andre-Hahn,de GER,MF,Augsburg,28,1990,9,5,442,1,0,0,1,4,1,0.20,0.00,0.20,0.20,0.20,2.0,1.3,0.1,0.42,0.03,0.44,0.26,0.29,Matches
150,Amadou Haidara\Amadou-Haidara,ml MLI,MF,RB Leipzig,21,1998,8,3,408,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,0.12,0.13,0.26,0.12,0.26,Matches
151,Achraf Hakimi\Achraf-Hakimi,ma MAR,DF,Dortmund,20,1998,17,14,1351,2,6,0,0,3,0,0.13,0.40,0.53,0.13,0.53,1.7,1.7,3.4,0.11,0.23,0.34,0.11,0.34,Matches
152,Marcel Halstenberg\Marcel-Halstenberg,de GER,DF,RB Leipzig,27,1991,13,13,1155,2,2,0,0,3,0,0.16,0.16,0.31,0.16,0.31,1.7,1.7,2.1,0.13,0.16,0.29,0.13,0.29,Matches
153,Amine Harit\Amine-Harit,ma MAR,MF,Schalke 04,22,1997,17,17,1473,6,4,1,1,2,0,0.37,0.24,0.61,0.31,0.55,2.9,2.1,3.0,0.18,0.18,0.36,0.13,0.31,Matches
154,Martin Harnik\Martin-Harnik,at AUT,FWMF,Werder Bremen,32,1987,2,0,7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
155,Makoto Hasebe\Makoto-Hasebe,jp JPN,MF,Eint Frankfurt,35,1984,13,13,1170,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.00,0.05,0.05,0.00,0.05,Matches
156,Kai Havertz\Kai-Havertz,de GER,MF,Bayer,20,1999,14,14,1174,2,1,0,0,2,0,0.15,0.08,0.23,0.15,0.23,2.5,2.5,2.3,0.19,0.18,0.37,0.19,0.37,Matches
157,Thorgan Hazard\Thorgan-Hazard,be BEL,MF,Dortmund,26,1993,16,13,1171,4,7,0,0,1,0,0.31,0.54,0.85,0.31,0.85,2.5,2.5,2.8,0.19,0.22,0.41,0.19,0.41,Matches
158,Jonas Hector\Jonas-Hector,de GER,DF,Köln,29,1990,16,16,1377,2,2,0,0,5,0,0.13,0.13,0.26,0.13,0.26,0.7,0.7,2.6,0.04,0.17,0.22,0.04,0.22,Matches
159,Dominique Heintz\Dominique-Heintz,de GER,DF,Freiburg,25,1993,14,14,1260,0,1,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
160,Rouwen Hennings\Rouwen-Hennings,de GER,FWMF,Düsseldorf,31,1987,16,15,1339,11,0,3,3,2,0,0.74,0.00,0.74,0.54,0.54,5.8,3.6,0.5,0.39,0.03,0.42,0.24,0.27,Matches
161,Lucas Hernández\Lucas-Hernandez,fr FRA,DF,Bayern Munich,23,1996,6,6,482,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
162,Patrick Herrmann\Patrick-Herrmann,de GER,FWMF,M'gladbach,28,1991,14,8,790,5,3,0,0,3,0,0.57,0.34,0.91,0.57,0.91,4.8,4.8,2.8,0.54,0.32,0.86,0.54,0.86,Matches
163,Martin Hinteregger\Martin-Hinteregger,at AUT,DFMF,Eint Frankfurt,26,1992,15,15,1350,6,1,0,0,5,0,0.40,0.07,0.47,0.40,0.47,2.6,2.6,0.6,0.17,0.04,0.21,0.17,0.21,Matches
164,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,31,1987,4,3,289,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
165,André Hoffmann\Andre-Hoffmann,de GER,DFMF,Düsseldorf,26,1993,13,12,1078,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.3,0.02,0.02,0.04,0.02,0.04,Matches
166,Nicolas Höfler\Nicolas-Hofler,de GER,MF,Freiburg,29,1990,16,16,1417,1,0,0,0,5,0,0.06,0.00,0.06,0.06,0.06,1.6,1.6,0.3,0.10,0.02,0.12,0.10,0.12,Matches
167,Jonas Hofmann\Jonas-Hofmann,de GER,MF,M'gladbach,27,1992,7,4,416,0,1,0,0,2,0,0.00,0.22,0.22,0.00,0.22,0.5,0.5,0.9,0.11,0.19,0.30,0.11,0.30,Matches
168,Marco Höger\Marco-Hoger,de GER,DFMF,Köln,29,1989,9,6,507,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches
169,Lucas Höler\Lucas-Holer,de GER,FW,Freiburg,25,1994,17,14,1234,4,2,0,1,1,0,0.29,0.15,0.44,0.29,0.44,4.6,3.8,1.2,0.33,0.09,0.42,0.28,0.36,Matches
170,Gerrit Holtmann\Gerrit-Holtmann,de GER,MF,Paderborn 07,24,1995,12,7,556,1,0,0,0,1,0,0.16,0.00,0.16,0.16,0.16,0.4,0.4,0.4,0.06,0.07,0.13,0.06,0.13,Matches
171,Timo Horn\Timo-Horn,de GER,GK,Köln,26,1993,17,17,1530,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
172,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Bayer,29,1989,17,17,1530,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
173,Benjamin Hübner\Benjamin-Hubner,de GER,DF,Hoffenheim,30,1989,10,10,865,1,1,0,0,1,0,0.10,0.10,0.21,0.10,0.21,0.5,0.5,0.3,0.05,0.03,0.09,0.05,0.09,Matches
174,Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,28,1991,5,4,378,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.11,0.03,0.14,0.11,0.14,Matches
175,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,30,1988,15,15,1232,0,1,0,0,5,1,0.00,0.07,0.07,0.00,0.07,1.1,1.1,0.6,0.08,0.04,0.13,0.08,0.13,Matches
176,Uwe Hünemeier\Uwe-Hunemeier,de GER,DF,Paderborn 07,33,1986,7,6,544,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.07,0.02,0.09,0.07,0.09,Matches
177,Jannik Huth\Jannik-Huth,de GER,GK,Paderborn 07,25,1994,6,6,540,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
178,Iago\Iago,br BRA,,Augsburg,22,1997,6,4,390,1,0,0,0,0,0,0.23,0.00,0.23,0.23,0.23,0.5,0.5,0.1,0.12,0.01,0.13,0.12,0.13,Matches
179,Vedad Ibišević\Vedad-Ibisevic,ba BIH,FW,Hertha BSC,34,1984,12,8,676,3,1,0,0,4,0,0.40,0.13,0.53,0.40,0.53,1.6,1.6,0.7,0.22,0.09,0.31,0.22,0.31,Matches
180,Luc Ihorst\Luc-Ihorst,de GER,FW,Werder Bremen,19,2000,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
181,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MF,RB Leipzig,30,1989,5,5,414,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.16,0.02,0.18,0.16,0.18,Matches
182,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,FW,Union Berlin,23,1996,13,12,947,3,1,1,1,3,0,0.29,0.10,0.38,0.19,0.29,2.5,1.7,0.8,0.24,0.07,0.31,0.17,0.24,Matches
183,Ismail Jakobs\Ismail-Jakobs,de GER,DF,Köln,19,1999,6,6,540,1,0,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.8,0.8,0.1,0.14,0.02,0.16,0.14,0.16,Matches
184,Laurent Jans\Laurent-Jans,lu LUX,DFMF,Paderborn 07,26,1992,8,7,659,0,1,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.1,0.1,0.6,0.01,0.08,0.09,0.01,0.09,Matches
185,Tony Jantschke\Tony-Jantschke,de GER,DFMF,M'gladbach,29,1990,10,8,665,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,0.09,0.15,0.24,0.09,0.24,Matches
186,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,34,1984,15,15,1287,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.02,0.02,0.00,0.02,Matches
187,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Augsburg,23,1995,16,16,1410,1,0,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,0.2,0.03,0.01,0.04,0.03,0.04,Matches
188,Fredrik Jensen\Fredrik-Jensen,fi FIN,MF,Augsburg,21,1997,8,3,323,1,0,0,0,0,0,0.28,0.00,0.28,0.28,0.28,0.4,0.4,0.1,0.11,0.02,0.13,0.11,0.13,Matches
189,Fabian Johnson\Fabian-Johnson,us USA,DFMF,M'gladbach,31,1987,4,2,184,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
190,Dejan Joveljić\Dejan-Joveljic,rs SRB,FW,Eint Frankfurt,19,1999,4,2,148,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
191,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,19,2000,12,8,736,3,1,0,0,0,0,0.37,0.12,0.49,0.37,0.49,1.2,1.2,0.1,0.15,0.01,0.16,0.15,0.16,Matches
192,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DFMF,Hoffenheim,27,1992,17,16,1379,2,2,0,0,2,0,0.13,0.13,0.26,0.13,0.26,1.6,1.6,1.5,0.10,0.10,0.20,0.10,0.20,Matches
193,Florian Kainz\Florian-Kainz,at AUT,MF,Köln,26,1992,13,6,632,0,3,0,0,2,0,0.00,0.43,0.43,0.00,0.43,0.7,0.7,3.0,0.10,0.42,0.53,0.10,0.53,Matches
194,Salomon Kalou\Salomon-Kalou,ci CIV,FW,Hertha BSC,33,1985,5,1,143,1,0,0,0,0,0,0.63,0.00,0.63,0.63,0.63,1.2,1.2,0.2,0.78,0.14,0.92,0.78,0.92,Matches
195,Daichi Kamada\Daichi-Kamada,jp JPN,MF,Eint Frankfurt,22,1996,16,11,1067,0,2,0,0,2,0,0.00,0.17,0.17,0.00,0.17,2.6,2.6,1.1,0.22,0.09,0.31,0.22,0.31,Matches
196,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,28,1990,4,2,194,1,0,0,0,0,0,0.46,0.00,0.46,0.46,0.46,0.1,0.1,0.4,0.03,0.20,0.22,0.03,0.22,Matches
197,Kenan Karaman\Kenan-Karaman,tr TUR,FW,Düsseldorf,25,1994,8,5,432,1,1,0,0,1,0,0.21,0.21,0.42,0.21,0.42,0.9,0.9,0.8,0.19,0.17,0.36,0.19,0.36,Matches
198,Noah Katterbach\Noah-Katterbach,de GER,MF,Köln,18,2001,8,8,628,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.02,0.04,0.06,0.02,0.06,Matches
199,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DFFW,Schalke 04,22,1997,17,17,1523,1,2,0,0,3,0,0.06,0.12,0.18,0.06,0.18,0.4,0.4,1.0,0.02,0.06,0.08,0.02,0.08,Matches
200,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,25,1994,16,16,1321,0,2,0,0,5,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,0.8,0.01,0.05,0.07,0.01,0.07,Matches
201,Luca Kilian\Luca-Kilian,de GER,DF,Paderborn 07,19,1999,12,12,1080,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
202,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,24,1995,17,17,1497,1,4,0,0,5,0,0.06,0.24,0.30,0.06,0.30,0.7,0.7,4.4,0.04,0.27,0.31,0.04,0.31,Matches
203,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,26,1993,17,17,1530,3,3,1,3,3,0,0.18,0.18,0.35,0.12,0.29,4.6,2.3,1.5,0.27,0.09,0.36,0.14,0.22,Matches
204,Felix Klaus\Felix-Klaus,de GER,FWMF,Wolfsburg,26,1992,14,5,462,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,1.0,0.30,0.20,0.49,0.30,0.49,Matches
205,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,23,1996,16,16,1370,1,1,0,0,0,0,0.07,0.07,0.13,0.07,0.13,1.5,1.5,1.6,0.10,0.11,0.20,0.10,0.20,Matches
206,Lukas Klünter\Lukas-Klunter,de GER,MF,Hertha BSC,23,1996,15,15,1350,0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,1.2,0.00,0.08,0.08,0.00,0.08,Matches
207,Robin Knoche\Robin-Knoche,de GER,DF,Wolfsburg,27,1992,11,10,921,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.03,0.01,0.04,0.03,0.04,Matches
208,Robin Koch\Robin-Koch,de GER,DF,Freiburg,23,1996,17,17,1530,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,0.07,0.03,0.10,0.07,0.10,Matches
209,Dominik Kohr\Dominik-Kohr,de GER,MF,Eint Frankfurt,25,1994,12,7,656,0,1,0,0,2,1,0.00,0.14,0.14,0.00,0.14,0.6,0.6,0.4,0.08,0.05,0.14,0.08,0.14,Matches
210,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,20,1999,5,5,450,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
211,Pascal Köpke\Pascal-Kopke,de GER,FW,Hertha BSC,23,1995,2,0,39,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.81,0.00,0.81,0.81,0.81,Matches
212,Filip Kostić\Filip-Kostic,rs SRB,MF,Eint Frankfurt,26,1992,16,16,1429,1,5,0,0,2,0,0.06,0.31,0.38,0.06,0.38,2.3,2.3,4.3,0.15,0.27,0.42,0.15,0.42,Matches
213,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Augsburg,26,1992,17,17,1530,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
214,Dawid Kownacki\Dawid-Kownacki,pl POL,FWMF,Düsseldorf,22,1997,15,10,947,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.3,0.15,0.03,0.18,0.15,0.18,Matches
215,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,31,1988,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
216,Andrej Kramarić\Andrej-Kramaric,hr CRO,FW,Hoffenheim,28,1991,8,7,675,5,0,0,0,1,0,0.67,0.00,0.67,0.67,0.67,3.4,3.4,1.3,0.46,0.17,0.63,0.46,0.63,Matches
217,Christoph Kramer\Christoph-Kramer,de GER,MF,M'gladbach,28,1991,11,8,704,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.04,0.05,0.09,0.04,0.09,Matches
