,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,17,17,1444,2,0,1,1,0,0,0.12,0.00,0.12,0.06,0.06,1.5,0.8,0.9,0.09,0.06,0.15,0.05,0.10,Matches
2,Max Aarons\Max-Aarons,eng ENG,MF,Norwich City,19,2000,19,19,1710,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,3.1,0.02,0.16,0.18,0.02,0.18,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,20,19,1583,12,3,0,0,2,0,0.68,0.17,0.85,0.68,0.85,9.4,9.4,2.2,0.53,0.12,0.66,0.53,0.66,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,15,8,634,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.3,0.21,0.04,0.25,0.21,0.25,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,10,8,783,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,15,11,908,10,2,2,2,0,0,0.99,0.20,1.19,0.79,0.99,8.1,6.6,2.1,0.81,0.21,1.02,0.66,0.87,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,FW,West Ham,22,1997,7,0,121,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.04,0.08,0.04,0.08,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DFMF,Bournemouth,24,1995,16,16,1385,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,1.0,1.0,0.6,0.06,0.04,0.10,0.06,0.10,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,11,2,353,0,1,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.2,0.2,0.9,0.06,0.22,0.27,0.06,0.27,Matches
