,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,
Rk,Player,Nation,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Int,PKwon,PKcon,OG,Succ,Att,Succ%,#Pl,Megs,Tkl,Att,Tkl%,Past,Matches
361,Yann Sommer\Yann-Sommer,ch SUI,GK,M'gladbach,17.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,0.0,1,Matches
362,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,12.4,2,0,0,20,23,0,35,24,18,0,0,0,7,14,50.0,8,0,37,56,66.1,19,Matches
363,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,12.7,5,0,0,11,9,1,2,21,30,0,0,0,5,7,71.4,5,1,34,45,75.6,11,Matches
364,Kostas Stafylidis\Kostas-Stafylidis,gr GRE,DFMF,Hoffenheim,3.4,0,0,0,5,2,0,5,0,2,0,0,0,4,5,80.0,5,0,7,8,87.5,1,Matches
365,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,DFMF,Schalke 04,9.0,2,0,0,9,4,0,2,21,12,0,0,0,4,5,80.0,4,0,28,43,65.1,15,Matches
366,Niklas Stark\Niklas-Stark,de GER,DFMF,Hertha BSC,11.5,3,0,0,15,6,0,1,16,12,0,0,1,2,2,100.0,2,0,20,30,66.7,10,Matches
367,Renato Steffen\Renato-Steffen,ch SUI,MF,Wolfsburg,4.5,2,0,0,9,7,2,12,5,4,0,0,0,8,9,88.9,8,0,8,11,72.7,3,Matches
368,Zack Steffen\Zack-Steffen,us USA,GK,Düsseldorf,17.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
369,Lars Stindl\Lars-Stindl,de GER,MF,M'gladbach,3.5,1,0,0,5,5,2,2,4,3,0,0,0,4,8,50.0,4,0,4,10,40.0,6,Matches
370,Tobias Strobl\Tobias-Strobl,de GER,DFMF,M'gladbach,1.4,1,0,0,6,3,0,0,2,4,0,0,0,1,1,100.0,1,0,4,6,66.7,2,Matches
371,Christian Strohdiek\Christian-Strohdiek,de GER,DF,Paderborn 07,5.0,1,0,0,3,4,0,2,7,9,0,1,0,0,0,,0,0,13,23,56.5,10,Matches
372,Neven Subotić\Neven-Subotic,rs SRB,DF,Union Berlin,10.8,2,1,1,4,2,0,3,6,21,0,0,0,0,1,0.0,0,0,12,25,48.0,13,Matches
373,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,1.5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,0,0,3,3,100.0,0,Matches
374,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,7.1,1,0,0,6,4,0,1,4,6,0,0,0,2,2,100.0,2,0,9,11,81.8,2,Matches
375,Markus Suttner\Markus-Suttner,at AUT,DFGK,Düsseldorf,3.8,1,0,0,3,1,0,27,4,5,0,0,0,2,2,100.0,2,0,6,10,60.0,4,Matches
376,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,8.4,0,0,0,18,18,6,2,3,2,0,0,0,9,11,81.8,9,0,5,10,50.0,5,Matches
377,Jonathan Tah\Jonathan-Tah,de GER,DF,Bayer,12.0,3,1,0,19,9,0,0,10,15,0,0,0,8,10,80.0,9,0,21,30,70.0,9,Matches
378,Georg Teigl\Georg-Teigl,at AUT,DFMF,Augsburg,1.1,0,0,0,2,1,0,0,0,3,0,0,0,1,1,100.0,1,0,0,4,0.0,4,Matches
379,Bernard Tekpetey\Bernard-Tekpetey,gh GHA,MF,Düsseldorf,4.3,4,0,0,12,12,2,12,6,2,0,0,0,10,17,58.8,10,0,6,9,66.7,3,Matches
380,Lino Tempelmann\Lino-Tempelmann,de GER,MF,Freiburg,0.4,0,0,0,1,0,0,1,0,0,0,0,0,1,1,100.0,1,0,1,1,100.0,0,Matches
381,Simon Terodde\Simon-Terodde,de GER,FW,Köln,8.2,4,0,0,23,10,2,1,5,2,0,0,0,2,5,40.0,3,0,13,23,56.5,10,Matches
382,Niclas Thiede\Niclas-Thiede,de GER,GK,Freiburg,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
383,Jan Thielmann\Jan-Thielmann,de GER,FW,Köln,2.3,1,0,0,4,1,1,4,4,3,0,0,0,1,4,25.0,1,0,5,6,83.3,1,Matches
384,Erik Thommy\Erik-Thommy,de GER,MF,Düsseldorf,10.6,2,0,0,11,27,4,67,11,6,0,0,0,26,39,66.7,28,0,19,31,61.3,12,Matches
385,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'gladbach,13.8,0,0,0,27,33,13,13,10,8,1,0,0,43,70,61.4,45,2,13,23,56.5,10,Matches
386,Marcel Tisserand\Marcel-Tisserand,cd COD,DF,Wolfsburg,11.4,8,1,1,23,3,1,8,11,27,0,0,0,8,10,80.0,8,1,22,27,81.5,5,Matches
387,Corentin Tolisso\Corentin-Tolisso,fr FRA,DFMF,Bayern Munich,5.1,0,0,0,6,5,0,2,3,4,0,0,0,7,10,70.0,7,0,4,13,30.8,9,Matches
388,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,3.1,0,0,0,1,1,0,0,2,6,0,0,1,0,0,,0,0,3,3,100.0,0,Matches
389,Lucas Torró\Lucas-Torro,es ESP,MF,Eint Frankfurt,1.5,2,0,0,2,4,0,0,4,3,0,0,0,1,1,100.0,1,0,6,9,66.7,3,Matches
390,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,1.0,0,0,0,1,0,0,0,5,3,0,0,0,1,1,100.0,1,0,6,7,85.7,1,Matches
391,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,7.2,2,0,0,8,0,0,34,10,18,0,0,0,11,11,100.0,11,0,14,20,70.0,6,Matches
392,Ibrahima Traoré\Ibrahima-Traore,gn GUI,MF,M'gladbach,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50.0,1,0,0,1,0.0,1,Matches
393,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,6.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,,0,Matches
394,Christopher Trimmel\Christopher-Trimmel,at AUT,FWMF,Union Berlin,17.0,3,0,0,16,15,1,144,21,35,0,1,0,17,23,73.9,20,0,38,59,64.4,21,Matches
395,Anthony Ujah\Anthony-Ujah,ng NGA,FW,Union Berlin,5.7,0,0,0,10,2,3,3,3,1,0,0,0,5,10,50.0,5,0,5,7,71.4,2,Matches
396,Sven Ulreich\Sven-Ulreich,de GER,GK,Bayern Munich,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
397,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,RB Leipzig,12.6,1,0,0,10,5,0,0,29,19,0,0,0,12,15,80.0,12,1,36,46,78.3,10,Matches
398,Mark Uth\Mark-Uth,de GER,FW,Schalke 04,3.9,0,0,0,8,2,2,3,3,2,0,0,0,3,6,50.0,3,1,4,9,44.4,5,Matches
399,Ruben Vargas\Ruben-Vargas,ch SUI,FW,Augsburg,14.2,7,0,0,25,16,2,12,13,11,1,0,0,32,61,52.5,36,3,19,34,55.9,15,Matches
400,Sebastian Vasiliadis\Sebastian-Vasiliadis,gr GRE,MF,Paderborn 07,15.4,5,0,0,26,16,0,6,32,14,0,0,0,27,41,65.9,33,0,53,81,65.4,28,Matches
401,Miloš Veljković\Milos-Veljkovic,rs SRB,DF,Werder Bremen,9.9,4,0,0,8,4,0,0,14,11,0,0,0,0,0,,0,0,27,36,75.0,9,Matches
402,Birger Verstraete\Birger-Verstraete,be BEL,DF,Köln,7.4,3,0,0,13,16,0,31,12,4,0,0,0,2,6,33.3,3,0,21,35,60.0,14,Matches
403,Kevin Vogt\Kevin-Vogt,de GER,DFMF,Hoffenheim,10.7,2,0,0,9,8,0,1,6,8,0,0,0,4,4,100.0,4,0,11,15,73.3,4,Matches
404,Kevin Volland\Kevin-Volland,de GER,FW,Bayer,15.2,2,0,0,15,11,22,31,8,3,0,0,0,17,33,51.5,22,1,12,22,54.5,10,Matches
405,Luca Waldschmidt\Luca-Waldschmidt,de GER,FW,Freiburg,6.0,0,0,0,5,8,2,3,4,2,1,0,0,8,16,50.0,11,0,4,14,28.6,10,Matches
406,Wout Weghorst\Wout-Weghorst,nl NED,FW,Wolfsburg,16.1,2,0,0,27,21,12,3,5,2,0,0,0,17,26,65.4,17,0,7,21,33.3,14,Matches
407,Julian Weigl\Julian-Weigl,de GER,MF,Dortmund,11.3,4,0,0,8,10,0,1,12,8,0,0,0,6,8,75.0,6,0,21,34,61.8,13,Matches
408,Mitchell Weiser\Mitchell-Weiser,de GER,DFMF,Bayer,5.9,1,0,0,8,12,0,19,15,14,0,0,0,7,10,70.0,7,1,24,29,82.8,5,Matches
409,Wendell\Wendell,br BRA,DF,Bayer,12.7,5,1,1,19,14,1,17,29,25,0,0,0,4,6,66.7,4,1,49,66,74.2,17,Matches
410,Oscar Wendt\Oscar-Wendt,se SWE,DF,M'gladbach,9.9,2,0,0,8,6,0,35,12,13,0,0,0,2,4,50.0,2,1,20,30,66.7,10,Matches
411,Timo Werner\Timo-Werner,de GER,FWMF,RB Leipzig,15.8,1,0,0,11,14,23,46,3,2,1,0,0,34,53,64.2,37,1,5,14,35.7,9,Matches
412,Felix Wiedwald\Felix-Wiedwald,de GER,GK,Eint Frankfurt,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
413,William\William,br BRA,DF,Wolfsburg,13.9,0,0,0,25,14,1,53,34,25,0,0,0,20,37,54.1,22,2,54,94,57.4,40,Matches
414,Axel Witsel\Axel-Witsel,be BEL,MF,Dortmund,12.1,0,0,0,18,22,0,6,19,18,0,0,0,9,13,69.2,10,0,24,38,63.2,14,Matches
415,Hannes Wolf\Hannes-Wolf,at AUT,MF,RB Leipzig,0.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,2,3,66.7,1,Matches
416,Marius Wolf\Marius-Wolf,de GER,FW,Hertha BSC,10.3,1,0,0,8,15,1,27,9,8,0,0,0,22,38,57.9,24,1,14,29,48.3,15,Matches
417,Dan-Axel Zagadou\Dan-Axel-Zagadou,fr FRA,DF,Dortmund,5.3,0,0,0,4,1,0,0,6,10,0,0,0,5,5,100.0,5,0,9,12,75.0,3,Matches
418,Denis Zakaria\Denis-Zakaria,ch SUI,MF,M'gladbach,15.2,6,0,0,20,12,0,2,31,28,0,0,0,32,41,78.0,34,0,45,60,75.0,15,Matches
419,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,14.0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0,,0,Matches
420,Jean Zimmer\Jean-Zimmer,de GER,DF,Düsseldorf,5.9,2,0,0,8,8,0,25,4,2,0,0,0,6,14,42.9,7,0,10,17,58.8,7,Matches
421,Matthias Zimmermann\Matthias-Zimmermann,de GER,DFMF,Düsseldorf,17.0,4,0,0,30,11,1,61,19,19,0,0,0,6,17,35.3,6,0,39,59,66.1,20,Matches
422,Leopold Zingerle\Leopold-Zingerle,de GER,GK,Paderborn 07,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
423,Joshua Zirkzee\Joshua-Zirkzee,nl NED,FW,Bayern Munich,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0.0,1,Matches
424,Ben Zolinski\Ben-Zolinski,de GER,DFMF,Paderborn 07,9.1,2,0,0,18,14,9,2,3,5,0,0,0,7,13,53.8,8,0,6,23,26.1,17,Matches
425,Steven Zuber\Steven-Zuber,ch SUI,MF,Hoffenheim,1.0,0,0,0,2,1,0,2,0,0,0,0,0,2,2,100.0,2,0,2,3,66.7,1,Matches
