,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,
Rk,Player,Nation,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Int,PKwon,PKcon,OG,Succ,Att,Succ%,#Pl,Megs,Tkl,Att,Tkl%,Past,Matches
277,Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,9.0,0,0,0,6,10,2,0,16,13,0,0,0,3,4,75.0,4,0,20,28,71.4,8,Matches
278,Yuya Osako\Yuya-Osako,jp JPN,FW,Werder Bremen,10.5,1,0,0,13,20,3,5,7,1,1,0,0,14,21,66.7,14,0,9,15,60.0,6,Matches
279,Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,0.3,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0.0,0,0,0,0,,0,Matches
280,Reece Oxford\Reece-Oxford,eng ENG,DF,Augsburg,3.5,0,0,0,0,5,0,0,6,4,0,0,0,0,0,,0,0,6,12,50.0,6,Matches
281,Levin Öztunalı\Levin-Oztunali,de GER,MF,Mainz 05,10.7,1,0,0,15,10,4,24,9,5,1,0,0,22,36,61.1,24,2,13,33,39.4,20,Matches
282,Gonçalo Paciência\Goncalo-Paciencia,pt POR,FW,Eint Frankfurt,12.1,3,0,0,25,20,8,17,8,0,0,0,0,24,41,58.5,26,2,8,18,44.4,10,Matches
283,Michael Parensen\Michael-Parensen,de GER,DFMF,Union Berlin,4.6,2,0,0,11,8,0,2,4,11,0,0,0,3,3,100.0,3,0,8,14,57.1,6,Matches
284,Paulinho\Paulinho,br BRA,FW,Bayer,0.9,1,0,0,2,2,1,3,1,0,0,0,0,4,4,100.0,4,0,1,1,100.0,0,Matches
285,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,16.0,2,0,0,18,11,1,28,11,25,0,1,0,7,11,63.6,7,0,16,21,76.2,5,Matches
286,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,17.0,1,0,0,0,1,0,0,0,4,0,0,1,0,0,,0,0,0,1,0.0,1,Matches
287,Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,1.1,0,0,0,0,0,0,4,2,2,0,0,0,1,5,20.0,2,0,5,9,55.6,4,Matches
