,,,,,,Assists,Assists,Assists,Assists,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Ast,xA,A-xA,KP,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Left,Right,FK,TB,CK,TI,1/3,PPA,CrsPA,Matches
28,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,Dortmund,0.1,0,0.0,0.0,0,17,17,100.0,0,0,,16,16,100.0,1,1,100.0,1,16,0,0,0,0,1,0,0,Matches
29,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,4.0,0,0.0,0.0,1,138,180,76.7,1,3,33.3,106,130,81.5,31,47,66.0,31,132,3,1,0,0,24,2,0,Matches
30,Aymen Barkok\Aymen-Barkok,de GER,MF,Düsseldorf,0.9,0,0.0,0.0,0,17,29,58.6,0,1,0.0,13,21,61.9,4,7,57.1,4,21,1,0,0,0,3,0,0,Matches
31,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,0.6,0,0.1,-0.1,1,12,13,92.3,0,0,,10,11,90.9,2,2,100.0,3,8,0,0,0,0,0,0,0,Matches
32,Fin Bartels\Fin-Bartels,de GER,FWMF,Werder Bremen,0.4,0,0.0,0.0,0,21,28,75.0,0,0,,15,19,78.9,6,9,66.7,1,21,0,0,0,1,1,0,0,Matches
33,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,17.0,0,0.0,0.0,1,639,815,78.4,9,9,100.0,391,392,99.7,239,414,57.7,145,538,73,0,0,0,8,0,0,Matches
34,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,DFMF,Bayer,10.5,1,0.8,+0.2,7,571,635,89.9,13,23,56.5,471,508,92.7,87,104,83.7,142,455,25,1,2,2,35,5,0,Matches
35,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MF,Hoffenheim,3.1,1,0.3,+0.7,4,69,106,65.1,2,4,50.0,52,74,70.3,15,28,53.6,8,81,1,1,4,2,5,2,0,Matches
36,Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hoffenheim,14.2,0,2.3,-2.3,22,282,426,66.2,12,41,29.3,239,318,75.2,31,67,46.3,26,330,1,3,0,6,23,12,2,Matches
37,Sheraldo Becker\Sheraldo-Becker,nl NED,MF,Union Berlin,5.3,2,0.8,+1.2,7,73,122,59.8,2,8,25.0,53,82,64.6,18,32,56.3,20,87,0,0,0,1,2,3,2,Matches
38,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,0.0,0,0.0,0.0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
39,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,3.0,0,0.2,-0.2,5,49,65,75.4,2,7,28.6,41,48,85.4,6,10,60.0,7,49,0,0,0,0,4,2,0,Matches
40,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Bayer,9.9,1,2.2,-1.2,13,313,448,69.9,4,31,12.9,255,311,82.0,54,106,50.9,38,362,0,1,0,35,15,9,2,Matches
41,Lars Bender\Lars-Bender,de GER,MF,Bayer,9.7,0,0.7,-0.7,12,620,730,84.9,13,29,44.8,506,567,89.2,101,134,75.4,69,520,6,1,0,111,34,8,1,Matches
42,Sven Bender\Sven-Bender,de GER,MF,Bayer,16.3,0,0.0,0.0,1,1267,1370,92.5,5,9,55.6,863,912,94.6,399,449,88.9,281,1001,34,1,0,1,32,2,0,Matches
43,László Bénes\Laszlo-Benes,sk SVK,MF,M'gladbach,9.1,4,2.3,+1.7,19,346,457,75.7,5,15,33.3,237,283,83.7,104,159,65.4,368,48,30,3,28,9,52,7,0,Matches
44,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DFMF,M'gladbach,7.1,0,0.3,-0.3,4,302,380,79.5,3,17,17.6,242,277,87.4,57,86,66.3,240,61,14,1,0,64,17,1,1,Matches
45,Louis Beyer\Louis-Beyer,de GER,DF,M'gladbach,1.2,0,0.0,0.0,0,33,41,80.5,2,2,100.0,23,27,85.2,8,12,66.7,3,29,0,0,0,6,0,0,0,Matches
46,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,6.9,0,0.4,-0.4,1,360,405,88.9,3,8,37.5,276,292,94.5,81,105,77.1,119,259,5,1,0,3,23,4,0,Matches
47,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Hoffenheim,0.0,0,0.0,0.0,0,2,3,66.7,0,0,,2,3,66.7,0,0,,0,3,0,0,0,0,0,0,0,Matches
48,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Werder Bremen,11.0,0,1.5,-1.5,17,319,416,76.7,13,27,48.1,261,311,83.9,45,78,57.7,82,293,5,2,10,15,24,11,3,Matches
49,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,6.5,0,0.3,-0.3,1,487,549,88.7,0,2,0.0,302,321,94.1,185,226,81.9,162,360,12,3,0,1,39,5,0,Matches
50,Adam Bodzek\Adam-Bodzek,de GER,DFMF,Düsseldorf,13.3,0,0.2,-0.2,4,345,406,85.0,3,7,42.9,231,266,86.8,111,133,83.5,21,342,15,0,0,2,36,3,0,Matches
51,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,FWMF,Mainz 05,16.4,5,2.4,+2.6,25,429,578,74.2,12,32,37.5,325,406,80.0,92,140,65.7,93,449,4,4,0,5,55,16,1,Matches
52,Robin Bormuth\Robin-Bormuth,de GER,DF,Düsseldorf,2.0,0,0.0,0.0,0,59,74,79.7,0,1,0.0,38,44,86.4,21,29,72.4,13,51,3,0,0,0,3,0,0,Matches
53,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,15.9,0,0.3,-0.3,2,563,696,80.9,1,3,33.3,313,349,89.7,249,344,72.4,78,567,19,1,0,2,39,1,0,Matches
54,Brandon Borrello\Brandon-Borrello,au AUS,FW,Freiburg,3.3,0,0.3,-0.3,2,59,76,77.6,1,4,25.0,52,62,83.9,6,10,60.0,16,53,0,0,0,0,1,1,0,Matches
55,Nassim Boujellab\Nassim-Boujellab,de GER,FW,Schalke 04,0.1,0,0.0,0.0,0,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,0,1,0,1,0,0,1,0,0,Matches
56,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,13.6,1,0.8,+0.2,1,519,568,91.4,4,9,44.4,315,332,94.9,200,227,88.1,107,433,9,0,0,1,21,1,0,Matches
57,Julian Brandt\Julian-Brandt,de GER,MF,Dortmund,11.7,1,2.2,-1.2,17,633,764,82.9,15,42,35.7,482,555,86.8,136,167,81.4,111,626,7,8,0,2,48,35,1,Matches
58,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,7.8,3,2.8,+0.2,21,256,379,67.5,5,28,17.9,193,238,81.1,58,113,51.3,32,321,7,4,23,12,19,18,3,Matches
59,John Brooks\John-Brooks,us USA,DF,Wolfsburg,11.0,1,0.1,+0.9,2,401,491,81.7,4,11,36.4,234,273,85.7,163,207,78.7,359,71,25,0,0,1,20,1,0,Matches
60,Daniel Brosinski\Daniel-Brosinski,de GER,DFMF,Mainz 05,10.7,2,2.0,0.0,24,400,615,65.0,2,15,13.3,264,323,81.7,134,277,48.4,24,447,27,0,27,125,33,14,3,Matches
61,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,9.0,0,0.0,0.0,0,268,306,87.6,2,5,40.0,173,189,91.5,93,112,83.0,44,227,19,0,0,0,5,0,0,Matches
62,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,MF,Dortmund,0.7,1,0.3,+0.7,1,22,27,81.5,1,3,33.3,18,21,85.7,3,3,100.0,8,16,0,0,0,0,3,0,0,Matches
63,Marius Bülter\Marius-Bulter,de GER,MF,Union Berlin,12.2,0,1.7,-1.7,11,199,299,66.6,3,21,14.3,170,218,78.0,26,60,43.3,87,175,0,1,0,5,10,5,3,Matches
64,Guido Burgstaller\Guido-Burgstaller,at AUT,MF,Schalke 04,10.9,1,0.6,+0.4,5,161,237,67.9,9,26,34.6,135,182,74.2,17,29,58.6,68,123,0,2,0,1,11,5,0,Matches
