,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
21,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,30,1989,26.0,29,4,1,3,0,34.7,0.36,+5.7,+0.22,199,572,34.8,522,93,65.5,47.2,277,83.0,59.5,193,9,4.7,4,0.15,11.0,Matches
22,Neto\Neto,br BRA,GK,Barcelona,30,1989,1.0,2,0,0,0,0,0.8,0.26,-1.2,-1.23,4,9,44.4,30,3,23.3,26.3,9,22.2,26.9,3,0,0.0,1,1.00,16.0,Matches
23,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,26,1993,25.7,19,0,1,4,1,16.3,0.23,-1.7,-0.07,192,457,42.0,427,66,67.2,47.7,212,80.2,58.8,152,8,5.3,11,0.43,13.7,Matches
24,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,27,1992,23.0,33,7,2,2,0,33.2,0.40,+0.2,+0.01,257,528,48.7,477,83,67.5,47.3,227,90.7,60.8,167,16,9.6,8,0.35,13.4,Matches
25,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,23,1996,2.0,3,1,0,0,0,2.7,0.34,-0.3,-0.14,20,48,41.7,53,9,73.6,51.6,13,69.2,55.4,13,0,0.0,1,0.50,12.2,Matches
26,Andrés Prieto\Andres-Prieto,es ESP,GK,Espanyol,25,1993,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Manolo Reina\Manolo-Reina,es ESP,GK,Mallorca,34,1985,25.0,40,9,0,4,1,41.5,0.37,+2.5,+0.10,186,483,38.5,619,137,55.7,42.8,219,63.0,51.9,198,20,10.1,18,0.72,14.0,Matches
28,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,24,1995,18.0,22,1,2,2,0,20.2,0.32,-1.8,-0.10,130,287,45.3,559,53,38.5,36.6,102,70.6,53.7,107,10,9.3,16,0.89,17.8,Matches
29,Joel Robles\Joel-Robles,es ESP,GK,Betis,29,1990,24.1,35,8,0,1,1,33.5,0.37,-0.5,-0.02,133,351,37.9,696,105,37.8,36.4,191,46.1,40.7,161,7,4.3,20,0.83,15.2,Matches
30,Rubén\Ruben,es ESP,GK,Osasuna,35,1984,12.6,14,3,1,0,0,12.9,0.43,-1.1,-0.09,103,276,37.3,262,48,69.1,51.4,114,83.3,61.0,97,6,6.2,3,0.24,13.5,Matches
31,Rui Silva\Rui-Silva,pt POR,GK,Granada,25,1994,25.0,30,3,1,2,0,30.1,0.30,+0.1,0.00,241,644,37.4,693,70,68.8,50.1,211,79.1,59.1,142,15,10.6,26,1.04,15.9,Matches
32,Unai Simón\Unai-Simon,es ESP,GK,Athletic Bilbao,22,1997,23.0,19,2,0,2,2,24.2,0.35,+7.2,+0.31,212,496,42.7,570,92,61.2,46.4,163,90.2,65.4,166,11,6.6,14,0.61,14.9,Matches
33,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,22,1996,3.0,3,1,0,0,0,2.0,0.49,-1.0,-0.34,24,64,37.5,56,9,71.4,52.4,27,88.9,63.4,20,1,5.0,0,0.00,12.8,Matches
34,David Soria\David-Soria,es ESP,GK,Getafe,26,1993,26.0,25,1,0,2,0,27.6,0.37,+2.6,+0.10,244,668,36.5,587,26,86.7,58.8,167,95.2,63.9,140,12,8.6,34,1.31,17.2,Matches
35,Juan Soriano\Juan-Soriano,es ESP,GK,Leganés,21,1997,11.0,18,5,1,0,1,15.1,0.44,-1.9,-0.17,49,175,28.0,222,59,52.3,45.8,75,78.7,63.1,53,4,7.5,7,0.64,18.3,Matches
36,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,27,1992,25.0,29,4,1,1,0,24.4,0.31,-4.6,-0.18,145,234,62.0,765,128,24.1,28.6,165,30.3,31.2,145,6,4.1,16,0.64,14.4,Matches
37,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,30,1989,24.5,25,1,3,2,0,20.5,0.28,-4.5,-0.18,132,322,41.0,524,113,41.8,38.1,170,60.6,48.2,154,12,7.8,12,0.49,13.9,Matches
38,Yoel\Yoel,es ESP,GK,Eibar,30,1988,1.0,0,0,0,0,0,0.8,0.27,+0.8,+0.82,13,31,41.9,29,2,82.8,61.2,8,87.5,66.5,10,0,0.0,2,2.00,17.0,Matches
