Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
32,Fin Bartels\Fin-Bartels,de GER,FWMF,Werder Bremen,0.4,0,0,0,3,2,0,66.7,7.30,4.86,0.00,0.00,0.3,0.3,0.09,-0.3,-0.3,Matches
33,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,17.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
34,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,DFMF,Bayer,10.5,0,0,0,8,1,0,12.5,0.76,0.10,0.00,0.00,0.5,0.5,0.06,-0.5,-0.5,Matches
35,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MF,Hoffenheim,3.1,1,0,0,14,5,0,35.7,4.52,1.61,0.07,0.20,2.0,2.0,0.14,-1.0,-1.0,Matches
36,Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hoffenheim,14.2,3,0,0,21,11,0,52.4,1.48,0.77,0.14,0.27,2.3,2.3,0.11,+0.7,+0.7,Matches
37,Sheraldo Becker\Sheraldo-Becker,nl NED,MF,Union Berlin,5.3,0,0,0,7,4,0,57.1,1.33,0.76,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
38,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,0.0,0,0,0,0,0,0,,,,,,0.0,0.0,,0.0,0.0,Matches
39,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,3.0,0,0,0,10,2,0,20.0,3.35,0.67,0.00,0.00,1.3,1.3,0.13,-1.3,-1.3,Matches
40,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Bayer,9.9,2,0,0,37,17,0,45.9,3.74,1.72,0.05,0.12,3.4,3.4,0.09,-1.4,-1.4,Matches
41,Lars Bender\Lars-Bender,de GER,MF,Bayer,9.7,0,0,0,12,0,0,0.0,1.23,0.00,0.00,,0.5,0.5,0.04,-0.5,-0.5,Matches
42,Sven Bender\Sven-Bender,de GER,MF,Bayer,16.3,0,0,0,9,2,0,22.2,0.55,0.12,0.00,0.00,0.7,0.7,0.08,-0.7,-0.7,Matches
43,László Bénes\Laszlo-Benes,sk SVK,MF,M'gladbach,9.1,0,0,0,19,6,5,31.6,2.09,0.66,0.00,0.00,1.0,1.0,0.05,-1.0,-1.0,Matches
44,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DFMF,M'gladbach,7.1,3,1,1,6,4,0,66.7,0.85,0.57,0.33,0.50,1.8,1.1,0.18,+1.2,+0.9,Matches
45,Louis Beyer\Louis-Beyer,de GER,DF,M'gladbach,1.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
46,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,6.9,2,0,0,3,2,0,66.7,0.44,0.29,0.67,1.00,0.4,0.4,0.12,+1.6,+1.6,Matches
47,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Hoffenheim,0.0,0,0,0,1,0,0,0.0,45.00,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
48,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Werder Bremen,11.0,2,0,0,21,7,0,33.3,1.90,0.63,0.10,0.29,1.9,1.9,0.09,+0.1,+0.1,Matches
49,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,6.5,0,0,0,2,0,0,0.0,0.31,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
50,Adam Bodzek\Adam-Bodzek,de GER,DFMF,Düsseldorf,13.3,0,0,0,7,3,0,42.9,0.52,0.23,0.00,0.00,0.5,0.5,0.08,-0.5,-0.5,Matches
51,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,FWMF,Mainz 05,16.4,3,0,0,23,8,0,34.8,1.41,0.49,0.13,0.38,1.9,1.9,0.08,+1.1,+1.1,Matches
52,Robin Bormuth\Robin-Bormuth,de GER,DF,Düsseldorf,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
53,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,15.9,3,0,0,9,4,0,44.4,0.57,0.25,0.33,0.75,0.9,0.9,0.10,+2.1,+2.1,Matches
54,Brandon Borrello\Brandon-Borrello,au AUS,FW,Freiburg,3.3,0,0,0,6,1,0,16.7,1.81,0.30,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
55,Nassim Boujellab\Nassim-Boujellab,de GER,FW,Schalke 04,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
56,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,13.6,1,0,0,8,1,0,12.5,0.59,0.07,0.13,1.00,0.6,0.6,0.08,+0.4,+0.4,Matches
57,Julian Brandt\Julian-Brandt,de GER,MF,Dortmund,11.7,2,0,0,22,10,0,45.5,1.87,0.85,0.09,0.20,3.1,3.1,0.14,-1.1,-1.1,Matches
58,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,7.8,2,0,0,18,8,1,44.4,2.32,1.03,0.11,0.25,1.6,1.6,0.09,+0.4,+0.4,Matches
59,John Brooks\John-Brooks,us USA,DF,Wolfsburg,11.0,0,0,0,5,2,0,40.0,0.45,0.18,0.00,0.00,0.8,0.8,0.18,-0.8,-0.8,Matches
60,Daniel Brosinski\Daniel-Brosinski,de GER,DFMF,Mainz 05,10.7,2,1,1,12,3,2,25.0,1.12,0.28,0.08,0.33,1.4,0.7,0.06,+0.6,+0.3,Matches
61,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,9.0,0,0,0,9,2,0,22.2,1.00,0.22,0.00,0.00,1.3,1.3,0.14,-1.3,-1.3,Matches
62,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,MF,Dortmund,0.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
63,Marius Bülter\Marius-Bulter,de GER,MF,Union Berlin,12.2,3,0,0,17,7,0,41.2,1.39,0.57,0.18,0.43,1.3,1.3,0.08,+1.7,+1.7,Matches
64,Guido Burgstaller\Guido-Burgstaller,at AUT,MF,Schalke 04,10.9,0,0,0,30,7,0,23.3,2.75,0.64,0.00,0.00,4.3,4.3,0.14,-4.3,-4.3,Matches
65,Jonathan Burkardt\Jonathan-Burkardt,de GER,FW,Mainz 05,1.0,0,0,0,4,0,0,0.0,3.87,0.00,0.00,,0.6,0.6,0.14,-0.6,-0.6,Matches
66,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,13.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
67,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MF,Schalke 04,15.1,1,0,0,27,6,7,22.2,1.79,0.40,0.04,0.17,1.3,1.3,0.05,-0.3,-0.3,Matches
68,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,9.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
69,Timothy Chandler\Timothy-Chandler,us USA,DFMF,Eint Frankfurt,4.5,0,0,0,1,0,0,0.0,0.22,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
70,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MF,Freiburg,1.8,1,0,0,5,2,0,40.0,2.83,1.13,0.20,0.50,0.7,0.7,0.15,+0.3,+0.3,Matches
71,Darko Churlinov\Darko-Churlinov,mk MKD,MF,Köln,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
72,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,9.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
73,Jamilu Collins\Jamilu-Collins,ng NGA,DF,Paderborn 07,16.0,1,0,1,9,1,1,11.1,0.56,0.06,0.11,1.00,1.6,0.8,0.09,-0.6,+0.2,Matches
74,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,9.8,1,0,0,20,7,0,35.0,2.03,0.71,0.05,0.14,2.0,2.0,0.10,-1.0,-1.0,Matches
75,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Köln,9.1,4,0,0,31,11,0,35.5,3.42,1.21,0.13,0.36,3.6,3.6,0.12,+0.4,+0.4,Matches
76,Sergio Córdova\Sergio-Cordova,ve VEN,FW,Augsburg,2.9,1,0,0,2,1,0,50.0,0.70,0.35,0.50,1.00,0.6,0.6,0.29,+0.4,+0.4,Matches
77,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,10.3,1,0,0,12,3,0,25.0,1.16,0.29,0.08,0.33,0.9,0.9,0.07,+0.1,+0.1,Matches
78,Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Bayern Munich,10.9,6,1,1,41,16,2,39.0,3.76,1.47,0.12,0.31,6.6,5.9,0.14,-0.6,-0.9,Matches
79,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Bayern Munich,0.3,0,0,0,2,0,0,0.0,6.00,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
80,Matheus Cunha\Matheus-Cunha,br BRA,,RB Leipzig,3.0,0,0,0,16,7,0,43.8,5.27,2.31,0.00,0.00,2.1,2.1,0.13,-2.1,-2.1,Matches
81,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,14.4,1,0,0,5,2,0,40.0,0.35,0.14,0.20,0.50,0.7,0.7,0.14,+0.3,+0.3,Matches
82,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,2.8,0,0,0,8,2,0,25.0,2.89,0.72,0.00,0.00,1.0,1.0,0.13,-1.0,-1.0,Matches
83,Leon Dajaku\Leon-Dajaku,de GER,FW,Bayern Munich,0.0,0,0,0,0,0,0,,,,,,0.0,0.0,,0.0,0.0,Matches
84,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,14.0,3,0,0,25,8,0,32.0,1.79,0.57,0.12,0.38,2.2,2.2,0.09,+0.8,+0.8,Matches
