"value"
"Group A"
"12'"
"43'"
"90+1'"
"71'"
"90+4'"
"89'"
"47' (o.g.)"
"59'"
"62'"
"73' (pen.)"
"23'"
"10'"
"23' (o.g.)"
"90'"
"45+6' (pen.)"
"90+5'"
"22'"
"Group B"
"90+5' (o.g.)"
"4' (pen.)"
"44'"
"88'"
"24'"
"55'"
"58'"
"4'"
"54'"
"90+3' (pen.)"
"45'"
"19'"
"90+1'"
"14'"
"81'"
"Group C"
"58' (pen.)"
"81' (o.g.)"
"62' (pen.)"
"59'"
"7'"
"38' (pen.)"
"34'"
"18'"
"50'"
"Group D"
"19'"
"23'"
"32' (o.g.)"
"71' (pen.)"
"53'"
"80'"
"90+1'"
"49'"
"75'"
"51' (pen.)"
"14'"
"86'"
"76' (pen.)"
"53'"
"90'"
"Group E"
"56'"
"20'"
"50'"
"90+1'"
"90+7'"
"5'"
"52'"
"90'"
"36'"
"68'"
"31'"
"88'"
"56'"
"90+3' (o.g.)"
"Group F"
"35'"
"65' (pen.)"
"90+3'"
"26' (pen.)"
"66'"
"48'"
"90+5'"
"32'"
"90+3'"
"90+6'"
"50'"
"62' (pen.)"
"74' (o.g.)"
"Group G"
"47'"
"69'"
"75'"
"35' (pen.)"
"11'"
"90+1'"
"6' (pen.)"
"51'"
"16'"
"45+3'"
"90'"
"18'"
"90+3'"
"8'"
"40'"
"22' (pen.)"
"45+1' (pen.)"
"62'"
"36'"
"78'"
"51'"
"33' (o.g.)"
"51'"
"66'"
"Group H"
"39'"
"6' (pen.)"
"73'"
"86'"
"37' (o.g.)"
"60'"
"34'"
"78'"
"11'"
"71'"
"40'"
"70'"
"75'"
"59'"
"74'"
