player_name,team_name,xG,goals,penalty_goals,shots,appearances,npGoals,npShots,npShotsPG,npxG,xGPerShot,npxGPerShot,xgdiff,player_name_EN
オルンガ,（柏）,18.669,28,1,154,32,27,153,4.529411764705882,17.909,0.12122727272727273,0.11705228758169933,9.091000000000001,M. Olunga
エヴェラウド,（鹿島）,18.543,18,1,154,33,17,153,4.529411764705882,17.782999999999998,0.12040909090909091,0.11622875816993462,-0.7829999999999977,Everaldo
レアンドロ ダミアン,（川崎Ｆ）,15.201,13,1,82,34,12,81,2.411764705882353,14.441,0.1853780487804878,0.17828395061728397,-2.4410000000000007,L. Damiao
小林 悠,（川崎Ｆ）,14.11,14,3,78,27,11,75,2.2941176470588234,11.829999999999998,0.1808974358974359,0.1577333333333333,-0.8299999999999983,Y. Kobayashi
レアンドロ ペレイラ,（広島）,11.077,15,0,98,26,15,98,2.8823529411764706,11.077,0.11303061224489797,0.11303061224489797,3.923,L. Pereira
パトリック,（Ｇ大阪）,10.689,9,1,67,33,8,66,1.9705882352941178,9.929,0.1595373134328358,0.15043939393939396,-1.9290000000000003,Patric
興梠 慎三,（浦和）,10.564,10,3,40,30,7,37,1.1764705882352942,8.283999999999999,0.2641,0.22389189189189188,-1.283999999999999,S. Koroki
ジュニオール サントス,（横浜FM）,10.287,13,0,74,23,13,74,2.176470588235294,10.287,0.13901351351351351,0.13901351351351351,2.712999999999999,J. Santos
レオナルド,（浦和）,10.23,11,2,62,28,9,60,1.8235294117647058,8.71,0.165,0.1451666666666667,0.28999999999999915,Leonardo
アンデルソン ロペス,（札幌）,9.836,9,1,65,24,8,64,1.911764705882353,9.076,0.15132307692307692,0.1418125,-1.0760000000000005,A. Lopes
ドウグラス,（神戸）,9.46,7,0,74,23,7,74,2.176470588235294,9.46,0.12783783783783784,0.12783783783783784,-2.460000000000001,D. Vieira
アダイウトン,（FC東京）,8.678,8,0,63,33,8,63,1.8529411764705883,8.678,0.13774603174603176,0.13774603174603176,-0.6780000000000008,Adailton
カルリーニョス ジュニオ,（清水）,8.618,10,0,82,29,10,82,2.411764705882353,8.618,0.10509756097560977,0.10509756097560977,1.3819999999999997,Carlinhos
上田 綺世,（鹿島）,8.548,10,0,64,26,10,64,1.8823529411764706,8.548,0.1335625,0.1335625,1.452,A. Ueda
江坂 任,（柏）,8.295,9,0,83,32,9,83,2.4411764705882355,8.295,0.09993975903614458,0.09993975903614458,0.7050000000000001,A. Esaka
家長 昭博,（川崎Ｆ）,8.183,11,3,49,29,8,46,1.4411764705882353,5.903,0.167,0.12832608695652173,2.0970000000000004,A. Ienaga
長沢 駿,（仙台）,8.146,9,0,53,33,9,53,1.5588235294117647,8.146,0.15369811320754717,0.15369811320754717,0.8539999999999992,S. Nagasawa
三笘 薫,（川崎Ｆ）,8.027,13,0,57,30,13,57,1.6764705882352942,8.027,0.14082456140350877,0.14082456140350877,4.973000000000001,K. Mitoma
知念 慶,（大分）,7.953,3,0,68,29,3,68,2,7.953,0.11695588235294119,0.11695588235294119,-4.953,K. Chinen
林 大地,（鳥栖）,7.597,9,1,55,31,8,54,1.6176470588235294,6.837000000000001,0.13812727272727274,0.12661111111111112,1.1629999999999994,D. Hayashi
